 记录条数  时间  bin号  晶号  电压(V)  反向漏电流(uA)  色坐标(x,y)  相关色温(K)  色差  主波长(nm)  色纯度(%)  峰值波长(nm)  显色性指数  光通量(lm)  辐射通量(mW)  光效 
718 2017_06_07 15:14:58 306 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
719 2017_06_07 15:14:58 329 402.8910.21.0100,0.01001001-6.56E-001769.0100.0502.2非数字1.000.000.00
720 2017_06_07 15:14:58 354 402.8950.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
721 2017_06_07 15:14:58 377 402.8970.21.0100,0.01001001-6.56E-001769.0100.0502.2非数字1.000.000.00
722 2017_06_07 15:14:58 402 402.8950.21.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
723 2017_06_07 15:14:58 429 402.8940.31.0100,0.01001001-6.56E-001769.0100.0500.8非数字1.000.000.00
724 2017_06_07 15:14:58 455 402.8900.21.0100,0.01001001-6.56E-001769.0100.0500.6非数字1.000.000.00
725 2017_06_07 15:14:58 482 402.9030.21.0100,0.01001001-6.56E-001769.0100.0500.7非数字1.000.000.00
726 2017_06_07 15:14:58 509 402.8860.21.0100,0.01001001-6.56E-001769.0100.0501.3非数字1.000.000.00
727 2017_06_07 15:14:58 535 402.8890.21.0100,0.01001001-6.56E-001769.0100.0501.4非数字1.000.000.00
728 2017_06_07 15:14:58 560 402.8940.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
729 2017_06_07 15:14:58 586 402.8990.31.0100,0.01001001-6.56E-001769.0100.0501.0非数字1.000.000.00
730 2017_06_07 15:14:58 613 402.9000.21.0100,0.01001001-6.56E-001769.0100.0501.6非数字1.000.000.00
731 2017_06_07 15:14:58 640 402.9140.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
732 2017_06_07 15:14:58 667 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
733 2017_06_07 15:14:58 693 402.8990.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
734 2017_06_07 15:14:58 720 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
735 2017_06_07 15:14:58 753 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
736 2017_06_07 15:14:58 777 402.8980.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
737 2017_06_07 15:14:58 801 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
738 2017_06_07 15:14:58 825 402.8970.31.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
739 2017_06_07 15:14:58 849 402.8940.31.0100,0.01001001-6.56E-001769.0100.0501.9非数字1.000.000.00
740 2017_06_07 15:14:58 872 402.8900.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
741 2017_06_07 15:14:58 895 402.8890.21.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
742 2017_06_07 15:14:58 920 402.8930.21.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
743 2017_06_07 15:14:58 944 402.8970.21.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
744 2017_06_07 15:14:58 967 402.8930.21.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
745 2017_06_07 15:14:58 991 402.8970.21.0100,0.01001001-6.56E-001769.0100.0502.2非数字1.000.000.00
746 2017_06_07 15:14:59 015 402.8940.21.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
747 2017_06_07 15:14:59 039 402.8900.21.0100,0.01001001-6.56E-001769.0100.0502.2非数字1.000.000.00
748 2017_06_07 15:14:59 067 402.8930.21.0100,0.01001001-6.56E-001769.0100.0611.6非数字1.000.000.00
749 2017_06_07 15:14:59 094 402.8900.21.0100,0.01001001-6.56E-001769.0100.0611.3非数字1.000.000.00
750 2017_06_07 15:14:59 122 402.8900.21.0100,0.01001001-6.56E-001769.0100.0502.2非数字1.000.000.00
751 2017_06_07 15:14:59 149 402.8920.31.0100,0.01001001-6.56E-001769.0100.0502.2非数字1.000.000.00
752 2017_06_07 15:14:59 176 402.8940.21.0100,0.01001001-6.56E-001769.0100.0502.2非数字1.000.000.00
753 2017_06_07 15:14:59 202 402.8930.21.0100,0.01001001-6.56E-001769.0100.0502.2非数字1.000.000.00
754 2017_06_07 15:14:59 231 402.8970.21.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
755 2017_06_07 15:14:59 260 402.8900.21.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
756 2017_06_07 15:14:59 285 402.8920.21.0100,0.01001001-6.56E-001769.0100.0501.9非数字1.000.000.00
757 2017_06_07 15:14:59 309 402.8950.21.0100,0.01001001-6.56E-001769.0100.0502.0非数字1.000.000.00
758 2017_06_07 15:14:59 333 402.8960.21.0100,0.01001001-6.56E-001769.0100.0502.0非数字1.000.000.00
759 2017_06_07 15:14:59 356 402.9000.21.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
760 2017_06_07 15:14:59 380 402.8900.21.0100,0.01001001-6.56E-001769.0100.0502.2非数字1.000.000.00
761 2017_06_07 15:14:59 403 402.8900.21.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
762 2017_06_07 15:14:59 427 402.8900.21.0100,0.01001001-6.56E-001769.0100.0502.2非数字1.000.000.00
763 2017_06_07 15:14:59 451 402.8960.21.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
764 2017_06_07 15:14:59 475 402.8960.21.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
765 2017_06_07 15:14:59 498 402.8950.21.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
766 2017_06_07 15:14:59 521 402.8990.21.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
767 2017_06_07 15:14:59 548 402.8920.31.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
768 2017_06_07 15:14:59 575 402.8920.21.0100,0.01001001-6.56E-001769.0100.0502.0非数字1.000.000.00
769 2017_06_07 15:14:59 602 402.8900.21.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
770 2017_06_07 15:14:59 635 402.8890.21.0100,0.01001001-6.56E-001769.0100.0432.5非数字1.000.000.00
771 2017_06_07 15:14:59 662 402.8960.21.0100,0.01001001-6.56E-001769.0100.0502.0非数字1.000.000.00
772 2017_06_07 15:14:59 688 402.8960.31.0100,0.01001001-6.56E-001769.0100.0502.1非数字1.000.000.00
773 2017_06_07 15:14:59 717 402.8900.21.0100,0.01001001-6.56E-001769.0100.0440.8非数字1.000.000.00
774 2017_06_07 15:14:59 750 402.8910.21.0100,0.01001001-6.56E-001769.0100.0440.2非数字1.000.000.00
775 2017_06_07 15:14:59 775 402.8940.21.0100,0.01001001-6.56E-001769.0100.0440.2非数字1.000.000.00
776 2017_06_07 15:14:59 799 402.8950.21.0100,0.01001001-6.56E-001769.0100.0502.0非数字1.000.000.00
777 2017_06_07 15:14:59 823 402.8900.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
778 2017_06_07 15:14:59 847 402.8960.21.0100,0.01001001-6.56E-001769.0100.0501.8非数字1.000.000.00
779 2017_06_07 15:14:59 870 402.8930.31.0100,0.01001001-6.56E-001769.0100.0501.9非数字1.000.000.00
780 2017_06_07 15:14:59 894 402.8990.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
781 2017_06_07 15:14:59 918 402.8890.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
782 2017_06_07 15:14:59 942 402.8890.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
783 2017_06_07 15:14:59 966 402.8910.31.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
784 2017_06_07 15:14:59 990 402.8910.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
785 2017_06_07 15:15:00 014 402.8970.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
786 2017_06_07 15:15:00 037 402.8950.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
787 2017_06_07 15:15:00 062 402.8980.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
788 2017_06_07 15:15:00 086 402.8970.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
789 2017_06_07 15:15:00 109 402.8940.31.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
790 2017_06_07 15:15:00 132 402.8930.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
791 2017_06_07 15:15:00 155 402.8920.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
792 2017_06_07 15:15:00 179 402.8940.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
793 2017_06_07 15:15:00 203 402.8910.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
794 2017_06_07 15:15:00 228 402.8940.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
795 2017_06_07 15:15:00 251 402.8890.31.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
796 2017_06_07 15:15:00 273 402.8930.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
797 2017_06_07 15:15:00 297 402.8970.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
798 2017_06_07 15:15:00 320 402.8920.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
799 2017_06_07 15:15:00 344 402.8990.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
800 2017_06_07 15:15:00 368 402.8900.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
801 2017_06_07 15:15:00 391 402.8960.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
802 2017_06_07 15:15:00 416 402.8940.21.0100,0.01001001-6.56E-001769.0100.0501.4非数字1.000.000.00
803 2017_06_07 15:15:00 440 402.8920.21.0100,0.01001001-6.56E-001769.0100.0501.4非数字1.000.000.00
804 2017_06_07 15:15:00 465 402.9000.21.0100,0.01001001-6.56E-001769.0100.0501.4非数字1.000.000.00
805 2017_06_07 15:15:00 491 402.8970.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
806 2017_06_07 15:15:00 517 402.8920.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
807 2017_06_07 15:15:00 543 402.8920.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
808 2017_06_07 15:15:00 569 402.8880.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
809 2017_06_07 15:15:00 595 402.8920.21.0100,0.01001001-6.56E-001769.0100.0501.4非数字1.000.000.00
810 2017_06_07 15:15:00 621 402.8900.21.0100,0.01001001-6.56E-001769.0100.0501.4非数字1.000.000.00
811 2017_06_07 15:15:00 647 402.8870.21.0100,0.01001001-6.56E-001769.0100.0501.4非数字1.000.000.00
812 2017_06_07 15:15:00 674 402.8970.21.0100,0.01001001-6.56E-001769.0100.0501.4非数字1.000.000.00
813 2017_06_07 15:15:00 701 402.8950.21.0100,0.01001001-6.56E-001769.0100.0501.4非数字1.000.000.00
814 2017_06_07 15:15:00 730 402.8880.21.0100,0.01001001-6.56E-001769.0100.0501.4非数字1.000.000.00
815 2017_06_07 15:15:00 758 402.8880.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
816 2017_06_07 15:15:00 783 402.8920.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
817 2017_06_07 15:15:00 808 402.8920.31.0100,0.01001001-6.56E-001769.0100.0501.4非数字1.000.000.00
818 2017_06_07 15:15:00 831 402.8960.31.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
819 2017_06_07 15:15:00 854 402.8960.21.0100,0.01001001-6.56E-001769.0100.0501.4非数字1.000.000.00
820 2017_06_07 15:15:00 877 402.8950.21.0100,0.01001001-6.56E-001769.0100.0501.4非数字1.000.000.00
821 2017_06_07 15:15:00 899 402.8970.21.0100,0.01001001-6.56E-001769.0100.0501.4非数字1.000.000.00
822 2017_06_07 15:15:00 924 402.8950.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
823 2017_06_07 15:15:00 948 402.8910.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
824 2017_06_07 15:15:00 973 402.8930.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
825 2017_06_07 15:15:00 998 402.8930.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
826 2017_06_07 15:15:01 024 402.8920.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
827 2017_06_07 15:15:01 056 402.8990.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
828 2017_06_07 15:15:01 081 402.8900.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
829 2017_06_07 15:15:01 106 402.8940.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
830 2017_06_07 15:15:01 130 402.9020.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
831 2017_06_07 15:15:01 155 402.8920.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
832 2017_06_07 15:15:01 180 402.8930.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
833 2017_06_07 15:15:01 204 402.8980.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
834 2017_06_07 15:15:01 229 402.8890.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
835 2017_06_07 15:15:01 255 402.8970.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
836 2017_06_07 15:15:01 281 402.8930.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
837 2017_06_07 15:15:01 305 402.8910.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
838 2017_06_07 15:15:01 329 402.8930.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
839 2017_06_07 15:15:01 353 402.8980.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
840 2017_06_07 15:15:01 376 402.9000.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
841 2017_06_07 15:15:01 399 402.9030.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
842 2017_06_07 15:15:01 422 402.8970.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
843 2017_06_07 15:15:01 446 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
844 2017_06_07 15:15:01 470 402.8960.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
845 2017_06_07 15:15:01 493 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
846 2017_06_07 15:15:01 518 402.8930.21.0100,0.01001001-6.56E-001769.0100.0501.5非数字1.000.000.00
847 2017_06_07 15:15:01 547 402.8980.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
848 2017_06_07 15:15:01 574 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
849 2017_06_07 15:15:01 600 402.8980.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
850 2017_06_07 15:15:01 625 402.8960.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
851 2017_06_07 15:15:01 652 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
852 2017_06_07 15:15:01 678 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
853 2017_06_07 15:15:01 704 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
854 2017_06_07 15:15:01 733 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
855 2017_06_07 15:15:01 758 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
856 2017_06_07 15:15:01 783 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
857 2017_06_07 15:15:01 808 402.8960.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
858 2017_06_07 15:15:01 833 402.8890.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
859 2017_06_07 15:15:01 858 402.8890.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
860 2017_06_07 15:15:01 882 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
861 2017_06_07 15:15:01 906 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
862 2017_06_07 15:15:01 931 402.9060.31.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
863 2017_06_07 15:15:01 955 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
864 2017_06_07 15:15:01 979 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
865 2017_06_07 15:15:02 002 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
866 2017_06_07 15:15:02 027 402.8920.31.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
867 2017_06_07 15:15:02 050 402.8940.21.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
868 2017_06_07 15:15:02 073 402.8960.21.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
869 2017_06_07 15:15:02 099 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
870 2017_06_07 15:15:02 127 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
871 2017_06_07 15:15:02 158 402.8960.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
872 2017_06_07 15:15:02 186 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
873 2017_06_07 15:15:02 213 402.8930.31.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
874 2017_06_07 15:15:02 240 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
875 2017_06_07 15:15:02 266 402.8940.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
876 2017_06_07 15:15:02 291 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
877 2017_06_07 15:15:02 315 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
878 2017_06_07 15:15:02 339 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
879 2017_06_07 15:15:02 363 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
880 2017_06_07 15:15:02 387 402.9010.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
881 2017_06_07 15:15:02 410 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
882 2017_06_07 15:15:02 433 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
883 2017_06_07 15:15:02 456 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
884 2017_06_07 15:15:02 480 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
885 2017_06_07 15:15:02 504 402.8900.31.0100,0.01001001-6.56E-001769.0100.0437.5非数字1.000.000.00
886 2017_06_07 15:15:02 528 402.8960.31.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
887 2017_06_07 15:15:02 552 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
888 2017_06_07 15:15:02 576 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
889 2017_06_07 15:15:02 600 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
890 2017_06_07 15:15:02 624 402.8890.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
891 2017_06_07 15:15:02 648 402.8900.31.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
892 2017_06_07 15:15:02 671 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
893 2017_06_07 15:15:02 696 402.8950.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
894 2017_06_07 15:15:02 720 402.8900.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
895 2017_06_07 15:15:02 743 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
896 2017_06_07 15:15:02 769 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
897 2017_06_07 15:15:02 792 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
898 2017_06_07 15:15:02 816 402.8910.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
899 2017_06_07 15:15:02 840 402.9010.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
900 2017_06_07 15:15:02 864 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
901 2017_06_07 15:15:02 887 402.8920.31.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
902 2017_06_07 15:15:02 909 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
903 2017_06_07 15:15:02 933 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
904 2017_06_07 15:15:02 957 402.9010.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
905 2017_06_07 15:15:02 979 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
906 2017_06_07 15:15:03 004 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
907 2017_06_07 15:15:03 027 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
908 2017_06_07 15:15:03 056 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
909 2017_06_07 15:15:03 085 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
910 2017_06_07 15:15:03 113 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
911 2017_06_07 15:15:03 140 402.9000.21.0100,0.01001001-6.56E-001769.0100.0559.7非数字1.000.000.00
912 2017_06_07 15:15:03 171 402.8990.21.0100,0.01001001-6.56E-001769.0100.0559.7非数字1.000.000.00
913 2017_06_07 15:15:03 201 402.8900.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
914 2017_06_07 15:15:03 236 402.8950.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
915 2017_06_07 15:15:03 262 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
916 2017_06_07 15:15:03 287 402.8900.31.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
917 2017_06_07 15:15:03 311 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
918 2017_06_07 15:15:03 335 402.8970.21.0100,0.01001001-6.56E-001769.0100.0559.6非数字1.000.000.00
919 2017_06_07 15:15:03 359 402.8930.21.0100,0.01001001-6.56E-001769.0100.0559.6非数字1.000.000.00
920 2017_06_07 15:15:03 383 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
921 2017_06_07 15:15:03 406 402.9020.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
922 2017_06_07 15:15:03 429 402.8890.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
923 2017_06_07 15:15:03 453 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
924 2017_06_07 15:15:03 477 402.8990.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
925 2017_06_07 15:15:03 500 402.9000.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
926 2017_06_07 15:15:03 524 402.8890.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
927 2017_06_07 15:15:03 546 402.8910.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
928 2017_06_07 15:15:03 570 402.8980.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
929 2017_06_07 15:15:03 596 402.8910.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
930 2017_06_07 15:15:03 621 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
931 2017_06_07 15:15:03 648 402.8900.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
932 2017_06_07 15:15:03 676 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
933 2017_06_07 15:15:03 704 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
934 2017_06_07 15:15:03 741 402.8990.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
935 2017_06_07 15:15:03 765 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
936 2017_06_07 15:15:03 791 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
937 2017_06_07 15:15:03 815 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
938 2017_06_07 15:15:03 839 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.8非数字1.000.000.00
939 2017_06_07 15:15:03 863 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
940 2017_06_07 15:15:03 888 402.8960.31.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
941 2017_06_07 15:15:03 913 402.9000.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
942 2017_06_07 15:15:03 937 402.9030.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
943 2017_06_07 15:15:03 961 402.9070.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
944 2017_06_07 15:15:03 985 402.8920.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
945 2017_06_07 15:15:04 009 402.8960.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
946 2017_06_07 15:15:04 032 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
947 2017_06_07 15:15:04 056 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
948 2017_06_07 15:15:04 082 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
949 2017_06_07 15:15:04 108 402.8900.31.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
950 2017_06_07 15:15:04 135 402.9030.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
951 2017_06_07 15:15:04 162 402.8940.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
952 2017_06_07 15:15:04 187 402.8990.21.0100,0.01001001-6.56E-001769.0100.0495.9非数字1.000.000.00
